date,pred_momentum,signal,in_market,trade_return,portfolio_value,position_return
2024-05-15,0.0009947471359434228,1,-1,0.0,9724.922782252583,-0.0011100490532793903
2024-05-16,-0.00020947004668414593,-1,0,0.0,9720.060320861458,0
2024-05-17,0.0023559612842897573,1,-1,0.0,9762.748844926782,0.004894243330347543
2024-05-20,0.0015173709640900295,1,0,0.0,9757.86747050432,0
2024-05-21,0.0017144981926927965,1,1,0.0,9771.847247096872,0.0014326671923767264
2024-05-22,0.0013628359107921522,1,1,0.0,9785.827023689424,0.002865334384753453
2024-05-23,0.0021025479460755983,-2,1,0.0,9639.653974498062,-0.011620495794056383
2024-05-24,0.0017033859621733427,1,0,0.0,9634.834147510814,0
2024-05-28,0.0027526486665010452,1,1,0.0,9639.51181798938,0.0004854956927074028
2024-05-29,0.0013419910877322157,1,1,0.0,9620.80054125435,-0.001456548814603987
2024-05-30,0.0030716738353172937,1,1,0.0,9662.90136002374,0.002913097629207974
2024-05-31,-0.0001803192620476087,0,1,0.0,9812.592763545503,0.018449577160662648
2024-06-03,9.941876245041688e-05,0,1,0.0,9812.592763545503,0.018449577160662648
2024-06-04,-0.0012370261053244274,-1,1,0.0,9965.095442563728,0.03479523675879025
2024-06-05,-0.0005057252710685134,-1,0,0.0,9960.112894842447,0
2024-06-06,-0.000405837781727314,-1,-1,0.0,9924.273416324371,-0.0035983004305738205
2024-06-07,-0.000890103867277503,-1,-1,0.0,9961.670848754873,0.00015641930255969058
2024-06-10,-0.00021889666095376015,-1,-1,0.0,10011.533695720862,0.005162672493907346
2024-06-11,0.0011639402073342353,1,-1,0.0,10012.75781684452,0.005788469062637188
2024-06-12,-0.0002722684293985367,-1,0,0.0,10007.751437936098,0
2024-06-13,0.002621102728880942,1,-1,0.0,9982.060832109764,-0.002068104786079596
2024-06-14,0.0014196625755478938,1,0,0.0,9977.06980169371,0
2024-06-17,0.0021389953908510506,1,1,0.0,10017.061263825164,0.004008337410315316
2024-06-18,0.0014716854978663225,1,1,0.0,10018.661264034345,0.004168705157657948
2024-06-20,-0.00016712956130504608,0,1,0.0,9946.676510153466,-0.0030463144133846274
2024-06-21,0.0005463004733125368,1,1,0.0,10041.056385192554,0.00641336432145452
2024-06-24,-0.002660165230433146,-1,1,0.0,10227.899017705065,0.025653396123443042
2024-06-25,-0.000269381368222336,-1,0,0.0,10222.785068196214,0
2024-06-26,0.0011198516003787518,-2,-1,0.0,10112.918102787213,-0.010252389751340709
2024-06-27,-9.952446756263574e-05,0,0,0.0,10112.918102787213,0
2024-06-28,0.000618822251756986,1,0,0.0,10107.86164373582,0
2024-07-01,0.0028027365915477276,-2,1,0.0,9984.470903150723,-0.011713259632959747
2024-07-02,0.001764849837248524,1,0,0.0,9979.478667699148,0
2024-07-03,0.000792318411792318,1,1,0.0,10001.589112730664,0.002215591191459956
2024-07-05,0.00026280929644902545,1,1,0.0,10069.497656759371,0.009020409989110093
2024-07-08,0.0023823194205760956,1,1,0.0,9943.155268819412,-0.003639809261510452
2024-07-09,0.001993330350766579,1,1,0.0,9900.514599930668,-0.007912644577723749
2024-07-10,0.0013082405785098672,1,1,0.0,9922.625044962186,-0.005697053386263793
2024-07-11,0.000648375212525328,1,1,0.0,9965.265111402901,-0.0014242784387377657
2024-07-12,-0.0010624810432394345,-1,1,0.0,10054.992343016795,0.008070931275743095
2024-07-15,1.974605644742648e-05,0,0,0.0,10054.992343016795,0
2024-07-16,4.251456509033839e-05,0,0,0.0,10054.992343016795,0
2024-07-17,-0.002657887525856495,-1,0,0.0,10049.964846845287,0
2024-07-18,-0.001482058879143248,-1,-1,0.0,9989.479044813344,-0.006018508816071084
2024-07-19,-0.0009371565732484063,-1,-1,0.0,9973.970077184864,-0.007561695072423908
2024-07-22,-0.0006212832716604074,-1,-1,0.0,10054.618602066375,0.00046306184071379103
2024-07-23,-0.0010740354967614014,-1,-1,0.0,10025.150735291394,-0.002469074462651643
2024-07-24,-0.0035542044788599014,-2,-1,0.0,9888.376074193953,-0.015586334247997225
2024-07-25,-0.0003405429112414519,-1,0,0.0,9883.431886156857,0
2024-07-26,-0.0016366640726725261,-2,-1,0.0,9731.964461526613,-0.014832804017862968
2024-07-29,-0.0021198164128387966,-1,0,0.0,9727.09847929585,0
2024-07-30,-0.0012098411098122597,-2,-1,0.0,9546.743779980257,-0.01805049469987779
2024-07-31,-0.00035752014567454654,-1,0,0.0,9541.970408090268,0
2024-08-01,-0.003856757034858068,-2,-1,0.0,9400.547143566762,-0.014328344544368004
2024-08-02,-0.004163197552164395,-1,0,0.0,9395.846869994979,0
2024-08-05,-0.0008282214403152466,-1,-1,0.0,9517.057164797978,0.01290041190327135
2024-08-06,0.0002657320777264734,1,-1,0.0,9519.10418010017,0.013625088289868786
2024-08-07,0.0006959547754377127,1,0,0.0,9514.34462801012,0
2024-08-08,0.0006179003200183312,1,1,0.0,9616.48438561998,0.010735343484317554
2024-08-09,0.0032703421699504056,1,1,0.0,9609.48811698945,0.010000004487879136
2024-08-12,-0.00018921447917819023,0,1,0.0,9538.130233384773,0.002499973072725184
2024-08-13,0.0004924046030888954,1,1,0.0,9578.706242984266,0.006764692418715533
2024-08-14,-0.0013383770516763132,-1,1,0.0,9590.698898885505,0.008529438691980699
2024-08-15,0.0006809689414997896,1,0,0.0,9585.903549436063,0
2024-08-16,0.002147396095097065,1,1,0.0,9633.248776196733,0.004939046853173824
2024-08-19,0.0012911888770759106,1,1,0.0,9605.39939272755,0.0020338034063186994
2024-08-20,-0.0001995141307512919,0,1,0.0,9661.098159665917,0.007844290300028948
2024-08-21,0.002288240434912344,1,1,0.0,9687.55581763176,0.010604349154094715
2024-08-22,0.003016817228247722,1,1,0.0,9654.136344991563,0.007118034852281881
2024-08-23,0.0020453203469514847,1,1,0.0,9718.19077687939,0.013800183442395409
2024-08-26,0.00045079365372657776,1,1,0.0,9864.401633671428,0.029052877780284952
2024-08-27,-0.002435385870436827,-1,1,0.0,9951.328358158615,0.03864038064518703
2024-08-28,6.786004329721133e-06,0,0,0.0,9951.328358158615,0
2024-08-29,0.0004386257690687974,1,0,0.0,9946.352693979536,0
2024-08-30,0.0004469060804694891,1,1,0.0,9983.548785894927,0.0037396715217937575
